num,site_name,site_code,forest_age,distance,species,status,survival04,survival05,survival06,initial_ht,ht_spring06,final_ht06,herbivory04,herbivory05,herbivory06,diameter06,num_leaves,stem_biomass,leaf_biomass,tot_biomass
1,Cicada Hill,CH,young,0,R,n,1,1,1,13.0,20.5,26.3,1,1,1,3.89,14,0.7,0.755,1.455
2,Cicada Hill,CH,young,0,D,n,1,1,1,4.0,16.7,18.7,0,0,1,3.03,9,0.493,0.241,0.734
3,Cicada Hill,CH,young,0,R,n,1,1,1,17.5,39.0,40.0,2,2,1,4.54,18,1.277,1.283,2.56
4,Cicada Hill,CH,young,0,S,n,1,0,0,17.5,,,4,,,,,,,
5,Cicada Hill,CH,young,0,D,n,1,1,1,19.5,20.9,27.2,1,0,2,4.54,16,1.143,0.407,1.55
6,Cicada Hill,CH,young,0,S,n,1,1,1,7.5,29.8,30.5,1,1,1,3.69,8,0.973,0.68,1.653
7,Cicada Hill,CH,young,0,P,e,1,1,1,13.5,21.3,22.3,1,4,0,3.43,155,0.965,0.704,1.669
8,Cicada Hill,CH,young,0,P,e,1,1,1,14.0,25.2,25.5,1,0,0,4.49,135,0.896,0.67,1.566
9,Cicada Hill,CH,young,0,A,e,1,1,1,6.0,21.7,19.3,1,0,1,2.43,6,0.249,0.112,0.361
10,Cicada Hill,CH,young,0,A,e,1,1,1,11.0,9.0,10.0,1,0,1,2.13,12,0.141,0.073,0.214
11,Cicada Hill,CH,young,0,H,e,1,1,1,6.0,35.9,36.7,0,1,0,4.85,107,1.373,1.145,2.518
12,Cicada Hill,CH,young,0,H,e,1,1,1,15.5,36.3,36.9,1,3,0,5.69,159,2.226,2.122,4.348
13,Cicada Hill,CH,young,0,D,n,1,1,1,5.0,23.1,31.0,1,3,1,4.16,16,1.086,0.744,1.83
14,Cicada Hill,CH,young,0,H,e,1,1,1,14.5,50.3,53.7,0,0,0,7.42,175,2.923,2.241,5.164
15,Cicada Hill,CH,young,0,S,n,1,1,1,8.0,19.8,20.2,1,1,1,2.66,10,0.323,0.298,0.621
16,Cicada Hill,CH,young,0,P,e,1,0,0,12.0,,,1,,,,,,,
17,Cicada Hill,CH,young,0,A,e,1,1,1,7.5,37.2,41.8,2,2,1,5.17,75,1.843,1.465,3.308
18,Cicada Hill,CH,young,0,A,e,1,1,1,12.0,47.4,46.9,2,1,1,4.68,116,2.493,1.551,4.044
19,Cicada Hill,CH,young,0,R,n,1,1,1,14.0,43.8,49.6,1,2,2,7.46,29,3.279,2.993,6.272
20,Cicada Hill,CH,young,0,S,n,1,1,1,5.5,22.2,23.0,1,1,1,2.50,10,0.333,0.255,0.588
21,Cicada Hill,CH,young,0,R,n,1,1,1,19.0,41.4,41.6,2,2,1,3.66,18,1.304,1.462,2.766
22,Cicada Hill,CH,young,0,P,e,1,1,1,15.0,31.1,41.6,0,1,0,3.59,179,1.884,1.087,2.971
23,Cicada Hill,CH,young,0,D,n,1,1,1,4.0,56.6,31.8,1,1,1,2.91,9,0.88,0.326,1.206
24,Cicada Hill,CH,young,0,H,e,1,1,1,12.5,42.1,51.0,1,1,1,5.32,170,2.395,1.918,4.313
25,Cicada Hill,CH,young,5,R,n,1,1,1,14.0,32.0,26.0,3,1,1,3.67,10,0.626,0.401,1.027
26,Cicada Hill,CH,young,5,S,n,1,1,1,8.0,21.9,20.5,1,1,1,3.43,7,0.465,0.412,0.877
27,Cicada Hill,CH,young,5,D,n,1,1,1,9.0,33.7,36.4,0,2,0,3.29,13,1.09,0.475,1.565
28,Cicada Hill,CH,young,5,S,n,1,1,1,11.0,27.8,27.0,1,2,1,2.63,7,0.513,0.234,0.747
29,Cicada Hill,CH,young,5,D,n,1,1,1,5.5,22.6,24.1,1,2,2,2.40,7,0.489,0.225,0.714
30,Cicada Hill,CH,young,5,R,n,1,1,1,16.5,32.2,32.1,0,2,0,4.28,10,0.793,0.829,1.622
31,Cicada Hill,CH,young,5,H,e,1,1,1,14.0,54.3,54.6,1,0,0,6.42,32,2.456,1.141,3.597
32,Cicada Hill,CH,young,5,A,e,1,1,1,12.0,39.6,25.2,1,1,1,3.51,16,0.833,0.322,1.155
33,Cicada Hill,CH,young,5,A,e,1,1,1,8.5,16.5,20.3,0,1,1,2.79,9,0.259,0.161,0.42
34,Cicada Hill,CH,young,5,H,e,1,1,1,12.0,51.4,52.3,0,0,0,5.43,253,4.067,3.084,7.151
35,Cicada Hill,CH,young,5,P,e,1,1,1,10.5,31.2,34.5,1,0,0,3.26,59,0.806,0.552,1.358
36,Cicada Hill,CH,young,5,P,e,1,1,1,10.0,36.1,39.2,0,0,1,3.02,94,0.879,0.322,1.201
37,Cicada Hill,CH,young,5,P,e,1,1,1,12.5,19.0,23.8,0,1,1,3.01,111,0.702,0.452,1.154
38,Cicada Hill,CH,young,5,H,e,1,1,1,5.0,19.4,20.3,1,0,0,3.57,73,0.459,0.54,0.999
39,Cicada Hill,CH,young,5,D,n,1,1,1,6.0,9.2,10.5,1,0,4,2.59,4,0.146,0.032,0.178
