num,site_name,site_code,forest_age,distance,species,status,survival04,survival05,survival06,initial_ht,ht_spring06,final_ht06,herbivory04,herbivory05,herbivory06,diameter06,num_leaves,stem_biomass,leaf_biomass,tot_biomass
40,Cicada Hill,CH,young,5,R,n,1,1,1,14.0,18.8,18.0,2,2,1,4.29,5,0.366,0.197,0.563
41,Cicada Hill,CH,young,5,S,n,1,1,1,13.0,14.3,14.1,0,1,3,3.95,2,0.231,0.044,0.275
42,Cicada Hill,CH,young,5,S,n,1,1,1,2.5,8.2,8.6,1,1,2,1.77,4,0.121,0.117,0.238
43,Cicada Hill,CH,young,5,A,e,1,1,1,10.0,14.7,19.3,1,1,1,2.84,17,0.436,0.166,0.602
44,Cicada Hill,CH,young,5,P,e,1,1,1,12.5,23.5,23.7,1,1,1,3.67,49,0.726,0.512,1.238
45,Cicada Hill,CH,young,5,R,n,1,1,1,14.5,22.1,22.6,2,0,2,3.28,6,0.386,0.387,0.773
46,Cicada Hill,CH,young,5,A,e,1,1,1,9.0,30.7,19.5,0,2,1,5.92,9,0.437,0.106,0.543
47,Cicada Hill,CH,young,5,H,e,1,1,1,10.5,29.2,29.5,0,0,0,5.05,86,0.849,0.649,1.498
48,Cicada Hill,CH,young,5,D,n,1,1,1,6.0,9.9,9.6,2,4,4,2.75,2,0.236,0.034,0.27
49,Cicada Hill,CH,young,10,D,n,1,1,1,5.0,21.1,28.9,2,0,1,4.05,24,0.728,0.424,1.152
50,Cicada Hill,CH,young,10,R,n,1,1,1,16.5,52.4,56.9,3,1,1,9.89,23,6.754,6.133,12.887
51,Cicada Hill,CH,young,10,S,n,1,1,1,10.0,63.4,70.0,2,0,1,9.86,67,9.374,5.152,14.526
52,Cicada Hill,CH,young,10,D,n,1,1,1,4.5,15.4,22.6,1,1,0,2.77,10,0.603,0.384,0.987
53,Cicada Hill,CH,young,10,R,n,1,1,1,13.5,66.4,79.6,2,1,1,7.99,47,9.251,7.948,17.199
54,Cicada Hill,CH,young,10,S,n,1,1,1,6.5,57.5,60.4,1,1,1,6.16,51,7.019,5.245,12.264
55,Cicada Hill,CH,young,10,A,e,1,1,1,5.0,30.0,31.6,0,1,1,3.53,42,0.855,0.5,1.355
56,Cicada Hill,CH,young,10,A,e,1,1,1,10.5,58.2,59.7,1,0,1,4.80,98,6.688,4.547,11.235
57,Cicada Hill,CH,young,10,H,e,1,0,0,2.0,,,1,,,,,,,
58,Cicada Hill,CH,young,10,H,e,1,1,1,8.0,48.0,48.5,1,0,0,4.63,79,1.857,1.283,3.14
59,Cicada Hill,CH,young,10,P,e,1,1,1,15.0,48.5,65.2,1,0,1,3.96,259,2.267,1.169,3.436
60,Cicada Hill,CH,young,10,P,e,1,1,1,15.5,58.8,61.3,1,0,0,4.23,193,2.653,1.187,3.84
61,Cicada Hill,CH,young,10,A,e,1,1,1,5.0,27.4,56.5,1,1,1,2.94,24,1.235,0.483,1.718
62,Cicada Hill,CH,young,10,H,e,1,1,1,8.0,30.7,32.2,1,1,0,5.54,51,1.937,1.16,3.097
63,Cicada Hill,CH,young,10,A,e,1,1,1,6.5,45.8,59.1,1,0,1,4.91,40,2.703,0.97,3.673
64,Cicada Hill,CH,young,10,S,n,1,1,1,7.0,21.6,25.2,1,0,1,3.52,12,0.879,0.478,1.357
65,Cicada Hill,CH,young,10,D,n,1,1,1,6.0,28.5,40.1,2,0,1,3.96,26,1.413,0.541,1.954
66,Cicada Hill,CH,young,10,D,n,1,1,1,6.5,35.2,47.5,1,0,2,4.80,18,1.681,0.789,2.47
67,Cicada Hill,CH,young,10,P,e,1,1,1,13.5,37.0,56.2,1,1,0,3.88,43,1.686,0.589,2.275
68,Cicada Hill,CH,young,10,S,n,1,1,1,8.0,37.1,26.5,2,1,2,3.83,3,0.81,0.107,0.917
69,Cicada Hill,CH,young,10,P,e,1,1,1,16.0,42.8,61.5,1,0,1,3.70,149,2.625,1.579,4.204
70,Cicada Hill,CH,young,10,R,n,1,0,0,11.5,,,3,,,,,,,
71,Cicada Hill,CH,young,10,H,e,1,1,1,12.5,54.8,57.8,0,0,0,8.62,160,7.631,5.479,13.11
72,Cicada Hill,CH,young,10,R,n,1,1,1,15.0,78.3,79.9,1,3,2,6.81,16,8.753,5.442,14.195
73,Cicada Hill,CH,young,20,R,n,1,1,1,18.5,33.0,32.4,3,1,2,2.87,9,0.505,0.317,0.822
74,Cicada Hill,CH,young,20,S,n,1,1,1,3.0,14.6,14.5,1,1,0,2.45,5,0.189,0.137,0.326
75,Cicada Hill,CH,young,20,D,n,0,0,0,12.0,,,,,,,,,,
76,Cicada Hill,CH,young,20,R,n,1,0,0,16.5,,,2,,,,,,,
77,Cicada Hill,CH,young,20,D,n,1,0,0,6.0,,,5,,,,,,,
78,Cicada Hill,CH,young,20,S,n,1,1,1,9.5,10.4,12.0,2,0,1,2.12,5,0.121,0.071,0.192
79,Cicada Hill,CH,young,20,A,e,1,0,0,7.0,,,0,,,,,,,
79,Cicada Hill,CH,young,20,H,e,1,1,1,12.5,43.7,43.5,2,1,0,7.68,38,2.18,1.416,3.596
80,Cicada Hill,CH,young,20,A,e,1,0,0,9.5,,,1,,,,,,,
81,Cicada Hill,CH,young,20,P,e,1,1,1,9.5,23.7,,1,0,0,,,,,
82,Cicada Hill,CH,young,20,H,e,1,1,1,9.5,48.9,23.0,0,0,0,2.87,57,0.469,0.372,0.841
83,Cicada Hill,CH,young,20,P,e,1,1,1,7.5,32.4,49.3,2,1,0,6.17,82,2.729,1.304,4.033
84,Cicada Hill,CH,young,20,D,n,1,1,1,6.0,15.8,32.2,5,1,2,2.61,69,0.743,0.583,1.326
85,Cicada Hill,CH,young,20,P,e,1,1,1,15.0,68.3,19.3,1,0,1,1.98,1,0.226,0.032,0.258
86,Cicada Hill,CH,young,20,H,e,1,1,1,9.0,32.3,66.4,1,1,0,4.00,143,2.275,0.751,3.026
87,Cicada Hill,CH,young,20,A,e,1,1,1,7.5,17.8,30.2,2,2,0,2.56,31,0.513,0.382,0.895
88,Cicada Hill,CH,young,20,D,n,1,1,1,13.5,20.3,22.2,0,1,2,1.72,3,0.181,0.012,0.193
89,Cicada Hill,CH,young,20,P,e,1,1,1,5.0,60.2,20.9,0,0,0,1.94,3,0.241,0.077,0.318
90,Cicada Hill,CH,young,20,H,e,1,1,1,8.5,27.5,41.2,1,1,0,3.83,155,1.608,1.012,2.62
91,Cicada Hill,CH,young,20,R,n,1,1,1,16.5,34.7,27.9,2,1,2,7.04,67,1.511,0.786,2.297
92,Cicada Hill,CH,young,20,S,n,1,1,1,7.0,18.8,27.7,1,1,1,3.17,7,0.524,0.102,0.626
93,Cicada Hill,CH,young,20,A,e,1,1,1,7.5,15.2,18.5,1,1,1,2.81,14,0.36,0.385,0.745
94,Cicada Hill,CH,young,20,S,n,1,1,1,5.0,11.3,18.2,1,0,1,1.38,2,0.085,0.013,0.098
95,Cicada Hill,CH,young,20,R,n,1,1,0,13.0,,11.4,3,4,,1.99,6,0.16,0.142,0.302
96,Cicada Hill,CH,young,40,D,n,1,0,0,17.5,,,2,,,,,,,
97,Cicada Hill,CH,young,40,R,n,1,1,1,17.0,20.6,,2,1,1,,,,,
98,Cicada Hill,CH,young,40,S,n,1,1,1,20.0,48.5,18.6,0,1,1,2.57,2,0.213,0.1,0.313
99,Cicada Hill,CH,young,40,D,n,1,1,1,15.5,12.4,46.4,1,3,3,4.20,27,1.381,0.844,2.225
100,Cicada Hill,CH,young,40,S,n,1,1,1,6.5,17.0,13.4,0,1,0,3.85,4,0.387,0.023,0.41
101,Cicada Hill,CH,young,40,R,n,1,1,1,16.5,29.6,16.4,2,1,1,2.17,7,0.232,0.125,0.357
102,Cicada Hill,CH,young,40,H,e,1,1,1,11.0,17.9,27.6,3,,1,2.51,4,0.422,0.153,0.575
103,Cicada Hill,CH,young,40,P,e,1,1,1,10.0,23.5,17.6,1,1,0,1.72,17,0.213,0.167,0.38
104,Cicada Hill,CH,young,40,A,e,1,1,1,2.5,19.4,26.6,1,0,1,3.06,27,0.443,0.354,0.797
105,Cicada Hill,CH,young,40,P,e,1,1,1,9.5,33.0,34.0,1,0,0,2.16,17,0.409,0.157,0.566
106,Cicada Hill,CH,young,40,A,e,1,1,1,13.0,38.4,32.8,1,3,2,2.64,79,0.731,0.421,1.152
107,Cicada Hill,CH,young,40,H,e,1,1,1,8.0,37.8,46.3,1,0,0,3.40,11,0.894,0.319,1.213
108,Cicada Hill,CH,young,40,A,e,1,1,1,5.5,35.2,37.8,2,3,1,2.51,42,0.731,0.535,1.266
109,Cicada Hill,CH,young,40,P,e,1,1,1,12.5,41.3,33.7,1,0,0,3.05,16,0.978,0.348,1.326
110,Cicada Hill,CH,young,40,S,n,1,1,1,5.5,15.3,43.5,3,1,1,3.41,105,1.297,0.962,2.259
111,Cicada Hill,CH,young,40,H,e,1,1,1,10.5,48.5,13.5,1,1,1,2.54,3,0.169,0.147,0.316
112,Cicada Hill,CH,young,40,D,n,1,1,1,3.5,19.9,64.7,1,1,1,6.51,230,4.034,2.239,6.273
113,Cicada Hill,CH,young,40,S,n,1,1,1,5.0,17.1,21.1,2,1,1,2.43,14,0.345,0.275,0.62
114,Cicada Hill,CH,young,40,P,e,1,1,1,10.5,50.6,15.8,0,0,0,2.26,7,0.251,0.227,0.478
115,Cicada Hill,CH,young,40,R,n,1,1,1,16.0,38.3,57.2,1,1,1,3.43,151,1.755,0.897,2.652
116,Cicada Hill,CH,young,40,R,n,1,1,1,14.0,36.8,36.6,2,2,2,3.78,10,1.128,0.874,2.002
117,Cicada Hill,CH,young,40,H,e,1,1,1,11.5,53.8,39.5,0,0,1,3.67,7,1.041,0.422,1.463
118,Cicada Hill,CH,young,40,D,n,1,1,1,5.5,14.4,55.0,0,0,2,5.68,119,3.656,2.254,5.91
119,Cicada Hill,CH,young,40,A,e,1,1,1,12.0,61.8,20.8,1,1,2,3.25,10,0.398,0.208,0.606
120,Cicada Hill,CH,young,60,D,n,1,1,1,5.5,23.1,58.6,3,2,3,4.02,35,1.79,0.721,2.511
121,Cicada Hill,CH,young,60,S,n,1,1,1,13.5,28.1,25.0,0,0,2,1.96,2,0.324,0.038,0.362
122,Cicada Hill,CH,young,60,D,n,1,1,1,7.5,6.8,30.0,4,3,,3.13,11,0.605,0.424,1.029
123,Cicada Hill,CH,young,60,R,n,1,1,1,18.0,28.4,,1,1,5,,,,,
124,Cicada Hill,CH,young,60,S,n,0,0,0,7.0,,27.2,,,,3.24,2,0.448,0.014,0.462
125,Cicada Hill,CH,young,60,R,n,1,1,1,17.5,11.4,,0,2,2,,,,,
126,Cicada Hill,CH,young,60,P,e,1,1,1,12.5,62.2,9.7,0,0,0,0.97,3,0.035,0.071,0.106
127,Cicada Hill,CH,young,60,P,e,1,1,1,14.0,80.1,79.0,1,0,0,5.36,214,3.531,1.709,5.24
128,Cicada Hill,CH,young,60,A,e,1,1,1,9.5,51.6,124.6,0,1,1,6.58,480,12.624,4.839,17.463
129,Cicada Hill,CH,young,60,H,e,1,1,1,9.0,65.7,74.6,0,1,1,8.61,58,6.712,3.171,9.883
130,Cicada Hill,CH,young,60,A,e,1,1,1,7.0,30.1,64.7,0,0,1,6.03,118,2.84,1.774,4.614
131,Cicada Hill,CH,young,60,H,e,1,1,1,10.0,35.9,52.0,0,1,0,3.98,25,1.403,0.636,2.039
132,Cicada Hill,CH,young,60,R,n,1,1,1,20.0,36.0,34.9,1,0,3,3.30,38,1.092,1.15,2.242
133,Cicada Hill,CH,young,60,S,n,1,1,1,5.0,20.0,33.9,1,3,0,4.82,10,1.749,0.464,2.213
134,Cicada Hill,CH,young,60,P,e,1,1,1,6.0,50.5,19.8,0,0,0,3.49,11,0.518,0.342,0.86
135,Cicada Hill,CH,young,60,A,e,1,1,1,13.5,53.6,84.9,0,0,2,5.98,231,5.304,1.97,7.274
136,Cicada Hill,CH,young,60,R,n,1,1,1,13.0,32.6,65.9,0,2,1,4.54,21,2.728,0.664,3.392
137,Cicada Hill,CH,young,60,S,n,1,1,1,4.0,15.3,32.9,1,0,0,3.88,14,1.215,1.2,2.415
138,Cicada Hill,CH,young,60,P,e,1,1,1,11.5,50.2,15.1,1,0,0,2.26,3,0.165,0.12,0.285
139,Cicada Hill,CH,young,60,H,e,1,1,1,13.0,46.9,102.3,1,1,1,6.62,298,6.657,2.96,9.617
140,Cicada Hill,CH,young,60,H,e,1,1,1,8.0,34.6,45.7,1,1,0,5.91,91,2.66,1.795,4.455
141,Cicada Hill,CH,young,60,A,e,1,1,1,9.0,45.6,34.8,0,1,1,2.74,18,0.575,0.519,1.094
142,Cicada Hill,CH,young,60,D,n,1,1,1,5.5,11.2,51.7,1,0,3,4.11,23,1.53,0.495,2.025
143,Cicada Hill,CH,young,60,D,n,1,1,1,5.5,,13.2,2,1,2,2.02,4,0.148,0.059,0.207
144,Parker Rd,PR,young,0,D,n,0,0,0,6.0,,28.1,,,,4.14,9,0.505,0.487,0.992
145,Parker Rd,PR,young,0,R,n,1,1,1,13.5,42.0,,1,2,1,,,,,
146,Parker Rd,PR,young,0,R,n,1,1,1,11.0,53.2,39.4,1,1,2,3.44,17,1.749,0.75,2.499
147,Parker Rd,PR,young,0,S,n,1,1,1,9.0,15.2,53.7,1,4,,3.86,14,1.832,1.375,3.207
148,Parker Rd,PR,young,0,S,n,1,1,1,12.0,33.0,,1,4,1,,,,,
149,Parker Rd,PR,young,0,D,n,1,1,1,6.5,42.9,34.4,1,2,2,3.75,15,0.845,0.378,1.223
150,Parker Rd,PR,young,0,P,e,1,1,1,10.0,35.9,44.5,0,0,0,4.07,20,1.957,0.699,2.656
151,Parker Rd,PR,young,0,A,e,1,1,1,4.5,13.0,85.6,1,1,1,5.06,223,5.51,3.694,9.204
152,Parker Rd,PR,young,0,H,e,1,1,1,15.0,85.0,11.0,1,1,0,1.93,11,0.149,0.067,0.216
153,Parker Rd,PR,young,0,A,e,1,1,1,9.0,77.9,91.2,1,2,2,9.91,339,22.2,8.005,30.205
154,Parker Rd,PR,young,0,P,e,1,1,1,12.0,75.5,84.2,0,1,1,6.48,76,4.753,2.391,7.144
155,Parker Rd,PR,young,0,H,e,1,1,1,8.5,67.7,86.0,0,0,0,4.90,527,5.668,1.997,7.665
156,Parker Rd,PR,young,0,A,e,1,1,1,11.0,31.4,71.6,1,2,2,8.94,152,5.431,3.013,8.444
157,Parker Rd,PR,young,0,D,n,1,1,1,5.0,31.3,32.8,2,1,2,2.62,19,0.708,0.21,0.918
158,Parker Rd,PR,young,0,S,n,1,1,1,10.5,49.6,42.5,0,1,4,3.48,33,1.626,1.008,2.634
159,Parker Rd,PR,young,0,D,n,1,1,1,6.5,47.4,50.9,1,2,3,5.41,5,2.883,0.054,2.937
160,Parker Rd,PR,young,0,S,n,1,1,1,9.5,51.4,57.4,1,1,2,4.73,50,3.576,1.148,4.724
161,Parker Rd,PR,young,0,H,e,1,1,1,2.0,17.6,51.0,1,0,1,3.65,21,1.645,0.715,2.36
162,Parker Rd,PR,young,0,P,e,1,1,1,15.0,66.1,18.6,0,0,0,2.90,6,0.237,0.073,0.31
163,Parker Rd,PR,young,0,A,e,1,1,1,3.5,8.2,65.9,1,1,,7.40,213,4.61,1.961,6.571
164,Parker Rd,PR,young,0,R,n,1,1,1,16.5,49.8,,2,2,2,,,,,
165,Parker Rd,PR,young,0,R,n,1,1,1,12.0,31.2,54.5,3,2,2,4.23,19,2.151,1.569,3.72
166,Parker Rd,PR,young,0,P,e,1,1,1,12.0,73.4,31.4,1,1,0,3.67,5,0.551,0.276,0.827
167,Parker Rd,PR,young,0,H,e,1,1,1,11.5,70.6,85.9,0,1,0,3.75,115,2.876,1.439,4.315
168,Parker Rd,PR,young,5,R,n,1,1,1,14.5,56.6,72.4,2,1,2,4.03,181,5.098,3.82,8.918
169,Parker Rd,PR,young,5,S,n,1,0,0,12.5,,44.4,1,,,2.34,15,0.711,0.717,1.428
170,Parker Rd,PR,young,5,D,n,1,0,0,5.5,,,1,,,,,,,
171,Parker Rd,PR,young,5,D,n,1,0,0,5.5,,,0,,,,,,,
172,Parker Rd,PR,young,5,R,n,1,1,1,8.5,16.2,,1,3,3,,,,,
173,Parker Rd,PR,young,5,S,n,1,0,0,4.0,,16.4,0,,,1.71,3,0.143,0.005,0.148
174,Parker Rd,PR,young,5,A,e,1,1,1,10.5,30.6,,1,2,1,,,,,
175,Parker Rd,PR,young,5,H,e,1,1,1,14.5,26.6,31.2,0,1,1,2.63,19,0.508,0.268,0.776
176,Parker Rd,PR,young,5,P,e,1,1,1,10.0,35.4,29.7,0,1,0,4.74,113,1.153,0.603,1.756
177,Parker Rd,PR,young,5,H,e,1,1,1,7.5,44.7,36.5,0,0,0,2.79,68,0.621,0.357,0.978
178,Parker Rd,PR,young,5,P,e,1,1,1,9.0,29.1,41.7,1,0,0,5.64,14.3,1.622,1.458,3.08
179,Parker Rd,PR,young,5,A,e,1,0,0,4.0,,29.6,1,,,3.57,105,0.45,0.363,0.813
180,Parker Rd,PR,young,5,A,e,1,1,1,7.5,16.8,,1,1,1,,,,,
181,Parker Rd,PR,young,5,H,e,1,1,1,15.0,37.9,19.7,1,1,1,2.62,30,0.509,0.339,0.848
182,Parker Rd,PR,young,5,D,n,1,1,0,6.0,,38.9,1,1,,4.92,84,1.337,0.807,2.144
183,Parker Rd,PR,young,5,P,e,1,1,1,16.0,41.8,,1,0,0,,,,,
184,Parker Rd,PR,young,5,A,e,1,1,1,6.0,22.4,41.7,2,2,1,3.22,108,0.999,0.49,1.489
185,Parker Rd,PR,young,5,R,n,1,1,1,20.0,30.3,24.5,3,3,,1.87,22,0.273,0.198,0.471
186,Parker Rd,PR,young,5,S,n,1,1,1,7.5,16.3,,0,2,0,,,,,
187,Parker Rd,PR,young,5,S,n,1,1,1,9.0,15.3,16.9,0,2,2,1.75,5,0.179,0.058,0.237
188,Parker Rd,PR,young,5,D,n,1,1,1,3.0,19.4,16.2,1,3,0,2.04,3,0.181,0.071,0.252
189,Parker Rd,PR,young,5,R,n,1,1,1,18.5,33.3,22.0,1,1,4,2.07,6,0.283,0.366,0.649
190,Parker Rd,PR,young,5,H,e,1,1,1,11.5,37.5,34.2,0,0,0,2.66,0,0.507,0,0.507
191,Parker Rd,PR,young,5,P,e,1,1,1,14.0,31.8,37.4,1,0,0,3.33,63,1.194,1.232,2.426
192,Parker Rd,PR,young,10,R,n,1,1,1,30.0,34.4,32.3,0,1,2,3.05,99,1.135,0.684,1.819
193,Parker Rd,PR,young,10,R,n,1,1,1,19.5,26.2,34.0,1,3,1,3.08,10,0.6,0.576,1.176
194,Parker Rd,PR,young,10,D,n,1,1,1,5.0,15.7,27.3,0,1,1,2.58,6,0.564,0.364,0.928
195,Parker Rd,PR,young,10,S,n,1,1,1,7.5,16.4,19.0,0,0,3,1.79,4,0.199,0.185,0.384
196,Parker Rd,PR,young,10,D,n,1,1,1,15.5,28.9,33.2,3,1,0,3.43,4,0.59,0.187,0.777
197,Parker Rd,PR,young,10,S,n,1,1,1,7.0,18.7,32.2,0,1,3,2.17,7,0.559,0.197,0.756
198,Parker Rd,PR,young,10,A,e,1,1,1,8.5,15.8,22.7,1,3,1,2.59,7,0.464,0.12,0.584
199,Parker Rd,PR,young,10,P,e,1,1,1,13.5,31.4,17.0,1,0,0,1.76,11,0.21,0.125,0.335
200,Parker Rd,PR,young,10,H,e,1,1,1,15.5,26.9,32.5,0,0,0,3.03,118,0.761,0.69,1.451
201,Parker Rd,PR,young,10,A,e,1,1,1,8.0,25.0,26.0,1,1,1,2.88,32,0.555,0.333,0.888
202,Parker Rd,PR,young,10,H,e,1,1,1,8.0,41.2,27.1,1,0,0,2.03,25,0.414,0.292,0.706
203,Parker Rd,PR,young,10,P,e,1,1,1,15.5,46.8,41.7,0,0,0,3.54,76,1.645,1.015,2.66
204,Parker Rd,PR,young,10,A,e,1,1,1,9.0,34.2,46.7,0,1,,3.45,236,1.457,1.203,2.66
205,Parker Rd,PR,young,10,S,n,1,1,1,7.0,31.3,,1,2,1,,,,,
206,Parker Rd,PR,young,10,R,n,1,1,1,13.5,36.4,31.6,1,3,1,2.85,7,0.559,0.153,0.712
207,Parker Rd,PR,young,10,P,e,1,1,1,16.0,32.7,39.3,0,0,0,3.71,14,1.137,0.9,2.037
208,Parker Rd,PR,young,10,H,e,1,1,1,14.5,62.6,37.0,0,0,0,3.36,174,1.381,1.281,2.662
209,Parker Rd,PR,young,10,P,e,1,1,1,18.5,37.8,63.0,1,0,0,4.62,159,3.404,2.338,5.742
210,Parker Rd,PR,young,10,D,n,1,0,0,8.0,,39.3,2,,,3.37,248,1.859,1.41,3.269
211,Parker Rd,PR,young,10,S,n,1,1,1,7.0,25.2,,0,1,1,,,,,
212,Parker Rd,PR,young,10,R,n,1,1,1,20.5,34.9,23.0,1,3,1,2.70,11,0.402,0.237,0.639
213,Parker Rd,PR,young,10,D,n,1,1,1,3.0,13.7,37.5,0,1,1,3.37,7,0.809,0.395,1.204
214,Parker Rd,PR,young,10,H,e,1,1,1,11.0,25.5,15.0,0,1,0,1.45,3,0.076,0.04,0.116
215,Parker Rd,PR,young,10,A,e,1,1,1,11.0,45.6,29.2,0,1,1,5.32,136,1.494,1.6,3.094
216,Parker Rd,PR,young,20,R,n,1,0,0,18.0,,50.0,3,,,2.84,104,2.857,2.049,4.906
217,Parker Rd,PR,young,20,R,n,1,0,0,19.0,,,1,,,,,,,
218,Parker Rd,PR,young,20,D,n,1,1,0,4.5,,,1,0,,,,,,
219,Parker Rd,PR,young,20,S,n,1,1,1,9.0,14.4,,1,1,1,,,,,
220,Parker Rd,PR,young,20,S,n,1,1,1,10.5,17.6,15.2,1,1,1,2.01,5,0.147,0.072,0.219
221,Parker Rd,PR,young,20,D,n,1,0,0,4.5,,17.4,1,,,1.68,2,0.112,0.038,0.15
222,Parker Rd,PR,young,20,P,e,1,1,1,14.0,33.2,,0,1,0,,,,,
223,Parker Rd,PR,young,20,H,e,1,1,1,7.0,32.3,35.2,1,1,0,3.22,125,1.15,0.947,2.097
224,Parker Rd,PR,young,20,P,e,1,1,1,12.0,21.4,34.8,0,0,0,3.18,50,1.314,0.801,2.115
225,Parker Rd,PR,young,20,A,e,1,1,1,5.5,12.1,39.8,1,2,1,3.71,89,1.533,0.959,2.492
226,Parker Rd,PR,young,20,H,e,1,1,1,5.0,18.2,17.3,2,3,1,1.61,11,0.172,0.043,0.215
227,Parker Rd,PR,young,20,A,e,1,0,0,9.0,,17.7,2,,,1.87,13,0.203,0.073,0.276
228,Parker Rd,PR,young,20,A,e,1,1,1,6.0,10.6,,2,3,1,,,,,
229,Parker Rd,PR,young,20,R,n,1,1,1,21.0,25.7,12.7,0,2,1,1.26,6,0.084,0.019,0.103
