site	age	dist	trees_in	dbh_cm	species
CH	Y	10		5.3	autumn olive
CH	Y	20	6	5.5	sass
CH	Y	20		4.5	sumac
CH	Y	20		5.2	sumac
CH	Y	20		4.2	sumac
CH	Y	20		9.3	cherry
CH	Y	40	3	6.2	cherry
CH	Y	40		34	tulip
CH	Y	40		17.1	cherry
CH	Y	40		5.4	sumac
CH	Y	40		4.8	sass
CH	Y	60	5	5.2	tulip
CH	Y	60		4	sumac
CH	Y	60		8	sumac
CH	Y	60		3.5	sumac
CH	Y	60		8.8	sumac
DUB	Y	0	7	5.3	sass
DUB	Y	0		6	sass
DUB	Y	0		5.7	sass
DUB	Y	0		4.5	sass
DUB	Y	0		35.5	tulip
DUB	Y	5	4	6.3	sass
DUB	Y	5		7.7	tulip
DUB	Y	5		21	boak
DUB	Y	5		31.6	tulip
DUB	Y	5		11.1	sass
DUB	Y	10	9	9.5	sass
DUB	Y	10		13.6	sass
DUB	Y	10		7.7	sass
DUB	Y	10		9	sass
DUB	Y	10		8.5	wash
DUB	Y	20	8	11.4	sass
DUB	Y	20		9.5	sass
DUB	Y	20		10.8	sass
DUB	Y	20		5.5	do
DUB	Y	20		5.3	sumac
DUB	Y	40	5	9.8	sass
DUB	Y	40		9.1	sass
DUB	Y	40		22.5	smap
DUB	Y	40		9.8	sass
DUB	Y	40		6.5	sass
DUB	Y	60	5	3.5	sumac
DUB	Y	60		6.8	sass
DUB	Y	60		12	sass
DUB	Y	60		30.5	smap
DUB	Y	60		6.7	tulip
DUG	Y	0	10	7.3	sass
DUG	Y	0		7.1	sass
DUG	Y	0		9.3	sass
DUG	Y	0		11	sass
DUG	Y	0		8.8	sass
DUG	Y	5	10	4.5	ro
DUG	Y	5		22.2	wash
DUG	Y	5		5.7	autumn olive
DUG	Y	5		21.6	tulip
DUG	Y	5		11.1	sass
DUG	Y	10	5	6.7	rmap
DUG	Y	10		3.7	beech
DUG	Y	10		8.6	rmap
DUG	Y	10		5.9	beech
DUG	Y	10		9.3	roak
DUG	Y	20	3	4	roak
DUG	Y	20		5.4	dog
DUG	Y	20		7.6	roak
DUG	Y	20		7	sass
DUG	Y	20		7.7	sass
DUG	Y	40	6	22.8	pine
DUG	Y	40		16.8	pine
DUG	Y	40		19.4	pine
DUG	Y	40		18.2	pine
DUG	Y	40		26.9	?
DUG	Y	60	12	12.3	smap
DUG	Y	60		10.1	?
DUG	Y	60		12.8	dog
DUG	Y	60		39.2	tulip
DUG	Y	60		18.6	smap
GR	Y	0	6	5.7	sass
GR	Y	0		17.3	hack
GR	Y	0		18.9	sass
GR	Y	0		6.5	cherry
GR	Y	0		22	?
GR	Y	5	5	5.2	wash
GR	Y	5		3.4	dog
GR	Y	5		4	dog
GR	Y	5		4.2	dog
GR	Y	5		18.9	sass
GR	Y	10	3	3.8	?
GR	Y	10		2.6	dog
GR	Y	10		19.2	cedar
GR	Y	10			
GR	Y	10			
GR	Y	20	6	4.7	sumac
GR	Y	20		3.9	sumac
GR	Y	20		3.8	sumac
GR	Y	20		3.9	sumac
GR	Y	20		10.3	persimmon
GR	Y	40	1	6.7	cherry
GR	Y	40			
GR	Y	40			
GR	Y	40			
GR	Y	40			
GR	Y	60	6	7.5	sass
GR	Y	60		8.4	sass
GR	Y	60		12.8	pine
GR	Y	60		17	pine
GR	Y	60		4.9	sass
PR	Y	0	7	17.4	box
PR	Y	0		18	box
PR	Y	0		17.5	box
PR	Y	0		14.3	box
PR	Y	0		8.3	sass
PR	Y	5	3	2.8	rmap
PR	Y	5		3.7	rmap
PR	Y	5		2	rmap
PR	Y	5		7	gash
PR	Y	5		2.2	ash
PR	Y	10	4	25.5	rmap
PR	Y	10		22.5	gash
PR	Y	10		2.1	rmap
PR	Y	10		24.3	gash
PR	Y	10		4.3	rmap
PR	Y	20	7	4.2	rmap
PR	Y	20		2.6	rmap
PR	Y	20		3.4	rmap
PR	Y	20		4	tulip
PR	Y	20		15.8	cherry
PR	Y	40	11	3.9	rmap
PR	Y	40		3.3	rmap
PR	Y	40		10.5	rmap
PR	Y	40		9.2	rmap
PR	Y	40		4.9	rmap
PR	Y	60	5	21.2	cherry
PR	Y	60		12.7	cherry
PR	Y	60		2.3	rmap
PR	Y	60		12.3	cherry
PR	Y	60		2.6	sass
