site,age,distance,can_wt,wet_wt,dry_wt,pct_moisture
Griffy,Y,0,37.381,182.93,148.26,18.95260482
Griffy,Y,5,37.756,152.37,129.01,15.33110192
Griffy,Y,10,37.651,157.7,128.21,18.70006341
Griffy,Y,20,37.464,151.93,124.03,18.36372013
Griffy,Y,40,38.507,171.66,142.37,17.06279856
Griffy,Y,60,37.076,174.53,138.96,20.38045035
BB,Y,0,37.74,136.79,112.91,17.45741648
BB,Y,5,38.265,181.34,148.61,18.04896879
BB,Y,10,37.53,190.17,150.39,20.91812589
BB,Y,20,38.173,150.25,132.36,11.90682196
BB,Y,40,38.008,153.06,126.13,17.59440742
BB,Y,60,37.19,167.9,143.55,14.50268017
HQ,M,0,38.22,165.66,134.92,18.55607872
HQ,M,5,39.023,150.93,125.4,16.91512622
HQ,M,10,38.591,165.02,133.4,19.16131378
HQ,M,20,38.191,196.91,159.59,18.95282109
HQ,M,40,37.698,156.62,127.33,18.70131529
HQ,M,60,38.379,177.55,145.3,18.16389749
FR,M,0,38.235,152.64,130.53,14.48506289
FR,M,5,38.195,149.12,129.46,13.18401288
FR,M,10,38.013,168.56,146.32,13.19411486
FR,M,20,37.527,142.02,129.13,9.076186453
FR,M,40,37.462,175.86,146.68,16.59274423
FR,M,60,37.303,126.75,108.31,14.54832347
Duck,M,0,37.672,194.9,166.52,14.56131349
Duck,M,5,38.129,146.19,126.36,13.5645393
Duck,M,10,37.754,212,175.62,17.16037736
Duck,M,20,37.56,126.7,102.47,19.12391476
Duck,M,40,37.818,162.91,134.05,17.71530293
Duck,M,60,37.858,167.91,139.83,16.7232446
PR,Y,0,37.739,163.02,143.48,11.98625935
PR,Y,5,37.688,195.69,167.46,14.42587766
PR,Y,10,39.12,168.8,145.89,13.57227488
PR,Y,20,38.238,184.94,156.14,15.57261815
PR,Y,40,38.145,194.4,167.59,13.79115226
PR,Y,60,73.725,273.93,222.16,18.89898879
CH,Y,0,37.56,184.02,157.45,14.43864797
CH,Y,5,38.173,165.42,140.85,14.8531012
CH,Y,10,38.591,188.5,151.66,19.54376658
CH,Y,20,38.145,182.59,144.67,20.76784052
CH,Y,40,38.238,212.95,167.78,21.21155201
CH,Y,60,38.129,143.39,119.26,16.8282307
LD,M,0,37.754,159.31,135.12,15.184232
LD,M,5,37.818,141.01,123.63,12.325367
LD,M,10,39.12,164.9,136.65,17.13159491
LD,M,20,37.464,182.26,160.2,12.10358828
LD,M,40,37.53,133.13,116.41,12.55915271
LD,M,60,38.265,119.98,107.12,10.71845308
DUG,Y,0,37.831,156.24,138.3,11.48233487
DUG,Y,5,38.22,128.68,111.48,13.36649052
DUG,Y,10,37.462,154.5,128.28,16.97087379
DUG,Y,20,38.235,173.45,148.59,14.33266071
DUG,Y,40,37.527,157.44,137.58,12.61432927
DUG,Y,60,37.303,144.08,114.08,20.82176569
DUB,Y,0,38.195,128.17,116.15,9.378169618
DUB,Y,5,38.507,138.45,124.14,10.33586132
DUB,Y,10,38.379,161.27,143.18,11.21721337
DUB,Y,20,37.672,143.83,121.02,15.85900021
DUB,Y,40,37.688,136.37,117.22,14.04267801
DUB,Y,60,38.013,165.98,140.59,15.29702374
SR45,M,0,37.756,165.41,139.89,15.42832961
SR45,M,5,39.023,147.34,127.57,13.41794489
SR45,M,10,37.651,143.42,123.88,13.62432018
SR45,M,20,37.739,148.72,125.05,15.91581495
SR45,M,40,37.076,132.37,112.27,15.18470953
SR45,M,60,37.698,143.19,125.87,12.09581675
YW,M,0,38.191,153.2,128.21,16.31201044
YW,M,5,37.858,156.45,135.49,13.39725152
YW,M,10,37.74,135.58,132.24,2.46349019
YW,M,20,73.725,203.35,171.91,15.46102778
YW,M,40,38.008,193.63,150.52,22.26411197
YW,M,60,37.19,139.09,113.1,18.68574304
