age,habitat_type,f_habitat,common_name,status,avg_biomass,se_biomass,avg_diameter,se_diameter,avg_rgr_ht,se_rgr_ht,avg_height,se_height,avg_num_leaves,se_num_leaves,tree_richness,avg_dbh,se_dbh,total_dbh,avg_basal_area,avg_ppfd,avg_pct_light,litter_kg_m2,pct_moisture
Mature forest,0,0-5 m,Autumn olive,Non-native,1.9577083333333334,0.7389637846029466,3.0970833333333334,0.32955222557897856,3.292140876862043,0.08914759668369233,32.15,3.847715301770423,41.625,NA,2.9,31.898,17.91985671141927,159.49,27.776844269384164,55.76,22.26514103008,1.274624,14.429012735
Mature forest,0,0-5 m,Honeysuckle,Non-native,1.0448,0.12469564594502511,3.220857142857143,0.20019011972026352,2.984620557751973,0.058136401516248465,21.162857142857142,1.2359807115516532,50.97142857142857,NA,2.9,31.898,17.91985671141927,159.49,27.776844269384164,55.76,22.26514103008,1.274624,14.429012735
Mature forest,0,0-5 m,Privet,Non-native,1.0268285714285714,0.1277727732994735,2.8465714285714285,0.10688362476870569,3.1368577388284318,0.0757814183638126,25.617142857142856,1.7987679023116223,62,NA,2.9,31.898,17.91985671141927,159.49,27.776844269384164,55.76,22.26514103008,1.274624,14.429012735
Mature forest,0,0-5 m,Dogwood,Native,0.7994347826086957,0.07846582675521521,2.6356521739130434,0.10716260593449534,3.175333965509454,0.04269540031108981,24.821739130434782,1.0200708144061186,7.086956521739131,NA,2.9,31.898,17.91985671141927,159.49,27.776844269384164,55.76,22.26514103008,1.274624,14.429012735
Mature forest,0,0-5 m,Redbud,Native,1.10125,0.12720309056780027,3.1886111111111113,0.13842592282918365,3.2701709097385363,0.04293380573015145,27.352777777777778,1.164170373583763,7.388888888888889,NA,2.9,31.898,17.91985671141927,159.49,27.776844269384164,55.76,22.26514103008,1.274624,14.429012735
Mature forest,0,0-5 m,Spicebush,Native,0.598741935483871,0.09063304187530005,2.339032258064516,0.11634098936510558,2.830526425529312,0.058440556285843964,18.16774193548387,1.100866227846464,11.290322580645162,NA,2.9,31.898,17.91985671141927,159.49,27.776844269384164,55.76,22.26514103008,1.274624,14.429012735
Mature forest,1,10-20 m,Autumn olive,Non-native,1.311842105263158,0.26500169576308363,2.962105263157895,0.22741786212959295,3.266057970495815,0.07966116770716747,30.58421052631579,2.681785540309017,38.1578947368421,NA,3,38.29666666666667,14.786796278324886,191.48333333333332,30.416792278457862,34.95,17.40002545415,1.2298266666666666,14.44738038275
Mature forest,1,10-20 m,Honeysuckle,Non-native,0.7782608695652173,0.09244597739171685,2.8363043478260868,0.13227544168068253,2.9054632623124883,0.055749777074121286,19.713043478260868,1.1323795361311646,45.97826086956522,NA,3,38.29666666666667,14.786796278324886,191.48333333333332,30.416792278457862,34.95,17.40002545415,1.2298266666666666,14.44738038275
Mature forest,1,10-20 m,Privet,Non-native,0.8506410256410256,0.08846002471616501,2.7525641025641026,0.1543356297722078,3.077367813336269,0.06403027668679764,23.838461538461537,1.4459661652843399,64.66666666666667,NA,3,38.29666666666667,14.786796278324886,191.48333333333332,30.416792278457862,34.95,17.40002545415,1.2298266666666666,14.44738038275
Mature forest,1,10-20 m,Dogwood,Native,0.6610909090909091,0.07486238558560755,2.374848484848485,0.10212018119758838,3.0529823743179243,0.035315473734568475,21.83939393939394,0.7524347579858686,7.333333333333333,NA,3,38.29666666666667,14.786796278324886,191.48333333333332,30.416792278457862,34.95,17.40002545415,1.2298266666666666,14.44738038275
